"metric","browser","version","avg","stdev","stdev%","","raw_values.."
"totalBytes_www.espn.com","Chrome","125.0.6422.142",4592022.4,410433.26516475243,0.08937963045754141,"",4367263,5313735,4542135,4371071,4365908
"firstPaint_www.walmart.com","Chrome","125.0.6422.142",2692.6,625.5092325457714,0.23230677878101888,"",2872,1664,2692,2879,3356
"largestContentfulPaint_www.walmart.com","Chrome","125.0.6422.142",2835.0,685.6690163628513,0.24185855956361596,"",3066,1664,2906,3078,3461
"domContentLoadedTime_www.walmart.com","Chrome","125.0.6422.142",4460.4,1732.0702352964788,0.38832172793840886,"",6645,1978,4174,4115,5390
"pageLoadTime_www.walmart.com","Chrome","125.0.6422.142",10340.0,4286.794665014876,0.4145836233089822,"",15000,3395,10001,11662,11642
"totalBytes_www.walmart.com","Chrome","125.0.6422.142",2433282.6,1140485.3850342846,0.46870239611062214,"",2697544,455294,3345382,2650622,3017571
"firstPaint_www.target.com","Chrome","125.0.6422.142",2681.2,331.71026514113186,0.12371709128044603,"",2693,2908,3084,2259,2462
"largestContentfulPaint_www.target.com","Chrome","125.0.6422.142",2639.0,334.5280257317763,0.12676317761719452,"",2655,2882,3030,2204,2424
"domContentLoadedTime_www.target.com","Chrome","125.0.6422.142",4594.6,903.0367102172536,0.19654305276134015,"",4039,4265,5672,3586,5411
"pageLoadTime_www.target.com","Chrome","125.0.6422.142",12297.6,1103.8977760644325,0.0897653018527544,"",11715,11852,12906,11115,13900
"totalBytes_www.target.com","Chrome","125.0.6422.142",2136306.6,34334.24090904006,0.01607177589070785,"",2126204,2123756,2139219,2192288,2100066
"firstPaint_www.bestbuy.com","Chrome","125.0.6422.142",4040.0,185.7054118759063,0.0459666861078976,"",3829,4279,3920,4180,3992
"largestContentfulPaint_www.bestbuy.com","Chrome","125.0.6422.142",4041.6,187.24128818185375,0.04632850558735495,"",3829,4279,3920,4188,3992
"domContentLoadedTime_www.bestbuy.com","Chrome","125.0.6422.142",6129.2,277.38727440169276,0.04525668511415728,"",6348,6212,5702,6369,6015
"pageLoadTime_www.bestbuy.com","Chrome","125.0.6422.142",15000.0,0.0,0.0,"",15000,15000,15000,15000,15000
"totalBytes_www.bestbuy.com","Chrome","125.0.6422.142",3106008.2,334804.44412925583,0.10779251778190921,"",3004090,3284490,3322045,2561805,3357611
"firstPaint_www.tmz.com","ChromeUBO","125.0.6422.142",3198.0,260.03749729606307,0.0813125382414206,"",2958,3058,3635,3151,3188
"largestContentfulPaint_www.tmz.com","ChromeUBO","125.0.6422.142",3546.0,189.96447036222327,0.05357148064360498,"",3310,3457,3827,3548,3588
"domContentLoadedTime_www.tmz.com","ChromeUBO","125.0.6422.142",4629.2,190.58121628324236,0.04116936323408847,"",4407,4521,4911,4611,4696
"pageLoadTime_www.tmz.com","ChromeUBO","125.0.6422.142",10569.2,784.3294588372923,0.07420897124070812,"",10029,10173,11952,10338,10354
"totalBytes_www.tmz.com","ChromeUBO","125.0.6422.142",1263210.4,2014.0817510716888,0.001594415111743609,"",1265742,1260793,1264476,1263363,1261678
"firstPaint_www.vice.com","ChromeUBO","125.0.6422.142",1878.4,190.6575464019193,0.10149997146609842,"",2118,2018,1815,1806,1635
"largestContentfulPaint_www.vice.com","ChromeUBO","125.0.6422.142",3966.2,134.26727076990878,0.033852874481848816,"",4049,4083,4012,3942,3745
"domContentLoadedTime_www.vice.com","ChromeUBO","125.0.6422.142",3963.6,134.0757248721781,0.03382675468568425,"",4044,4079,4007,3948,3740
"pageLoadTime_www.vice.com","ChromeUBO","125.0.6422.142",9694.8,277.2367219543616,0.02859643540396518,"",10087,9709,9791,9538,9349
"totalBytes_www.vice.com","ChromeUBO","125.0.6422.142",1389070.2,5020.931059076594,0.003614598498388774,"",1386567,1395081,1386486,1393675,1383542
"firstPaint_www.eurosport.com","ChromeUBO","125.0.6422.142",2796.4,2764.285676264304,0.9885158333086482,"",1452,1554,7739,1548,1689
"largestContentfulPaint_www.eurosport.com","ChromeUBO","125.0.6422.142",2796.4,2764.285676264304,0.9885158333086482,"",1452,1554,7739,1548,1689
"domContentLoadedTime_www.eurosport.com","ChromeUBO","125.0.6422.142",2781.6,2761.2237866569235,0.9926746428878788,"",1442,1543,7719,1539,1665
"pageLoadTime_www.eurosport.com","ChromeUBO","125.0.6422.142",2782.2,2761.457622343678,0.9925446130197966,"",1442,1544,7720,1539,1666
"totalBytes_www.eurosport.com","ChromeUBO","125.0.6422.142",2841.8,9.311283477587825,0.003276544259831031,"",2854,2833,2834,2839,2849
"firstPaint_www.salon.com","ChromeUBO","125.0.6422.142",1805.4,56.33205126746229,0.03120197810316954,"",1723,1863,1814,1779,1848
"largestContentfulPaint_www.salon.com","ChromeUBO","125.0.6422.142",3076.2,83.79856800685796,0.027240936222241066,"",2978,3080,3093,3028,3202
"domContentLoadedTime_www.salon.com","ChromeUBO","125.0.6422.142",1894.6,52.06054167985577,0.027478381547480085,"",1820,1933,1892,1875,1953
"pageLoadTime_www.salon.com","ChromeUBO","125.0.6422.142",4200.8,643.0059875304429,0.1530675079819184,"",3656,3755,4963,4840,3790
